"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2403_C01_001E","Total!!Estimate!!Civilian employed population 16 years and over"
"S2403_C01_001M","Total!!Margin of Error!!Civilian employed population 16 years and over"
"S2403_C02_001E","Male!!Estimate!!Civilian employed population 16 years and over"
"S2403_C02_001M","Male!!Margin of Error!!Civilian employed population 16 years and over"
"S2403_C03_001E","Percent Male!!Estimate!!Civilian employed population 16 years and over"
"S2403_C03_001M","Percent Male!!Margin of Error!!Civilian employed population 16 years and over"
"S2403_C04_001E","Female!!Estimate!!Civilian employed population 16 years and over"
"S2403_C04_001M","Female!!Margin of Error!!Civilian employed population 16 years and over"
"S2403_C05_001E","Percent Female!!Estimate!!Civilian employed population 16 years and over"
"S2403_C05_001M","Percent Female!!Margin of Error!!Civilian employed population 16 years and over"
"S2403_C01_002E","Total!!Estimate!!Agriculture, forestry, fishing and hunting, and mining"
"S2403_C01_002M","Total!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining"
"S2403_C02_002E","Male!!Estimate!!Agriculture, forestry, fishing and hunting, and mining"
"S2403_C02_002M","Male!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining"
"S2403_C03_002E","Percent Male!!Estimate!!Agriculture, forestry, fishing and hunting, and mining"
"S2403_C03_002M","Percent Male!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining"
"S2403_C04_002E","Female!!Estimate!!Agriculture, forestry, fishing and hunting, and mining"
"S2403_C04_002M","Female!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining"
"S2403_C05_002E","Percent Female!!Estimate!!Agriculture, forestry, fishing and hunting, and mining"
"S2403_C05_002M","Percent Female!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining"
"S2403_C01_003E","Total!!Estimate!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting"
"S2403_C01_003M","Total!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting"
"S2403_C02_003E","Male!!Estimate!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting"
"S2403_C02_003M","Male!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting"
"S2403_C03_003E","Percent Male!!Estimate!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting"
"S2403_C03_003M","Percent Male!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting"
"S2403_C04_003E","Female!!Estimate!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting"
"S2403_C04_003M","Female!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting"
"S2403_C05_003E","Percent Female!!Estimate!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting"
"S2403_C05_003M","Percent Female!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting"
"S2403_C01_004E","Total!!Estimate!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction"
"S2403_C01_004M","Total!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction"
"S2403_C02_004E","Male!!Estimate!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction"
"S2403_C02_004M","Male!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction"
"S2403_C03_004E","Percent Male!!Estimate!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction"
"S2403_C03_004M","Percent Male!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction"
"S2403_C04_004E","Female!!Estimate!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction"
"S2403_C04_004M","Female!!Margin of Error!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction"
"S2403_C05_004E","Percent Female!!Estimate!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction"
